"Step","GCN_features-16_layers-2_lr-0.0001 - test_accuracy","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.001 - test_accuracy","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.01 - test_accuracy","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.0001 - test_accuracy","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.001 - test_accuracy","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.01 - test_accuracy","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.0001 - test_accuracy","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.001 - test_accuracy","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.01 - test_accuracy","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GCN_features-8_layers-2_lr-0.0001 - test_accuracy","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MAX"
"10","0.5170000195503235","0.5170000195503235","0.5170000195503235","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.5230000019073486","0.5230000019073486","0.5230000019073486","0.2540000081062317","0.2540000081062317","0.2540000081062317","0.4350000321865082","0.4350000321865082","0.4350000321865082","0.44200000166893005","0.44200000166893005","0.44200000166893005","0.503000020980835","0.503000020980835","0.503000020980835","0.5090000033378601","0.5090000033378601","0.5090000033378601","0.44600000977516174","0.44600000977516174","0.44600000977516174","0.5979999899864197","0.5979999899864197","0.5979999899864197"
"11","0.515999972820282","0.515999972820282","0.515999972820282","0.41700002551078796","0.41700002551078796","0.41700002551078796","0.5429999828338623","0.5429999828338623","0.5429999828338623","0.25600001215934753","0.25600001215934753","0.25600001215934753","0.44200000166893005","0.44200000166893005","0.44200000166893005","0.4429999887943268","0.4429999887943268","0.4429999887943268","0.49400001764297485","0.49400001764297485","0.49400001764297485","0.5600000023841858","0.5600000023841858","0.5600000023841858","0.45500001311302185","0.45500001311302185","0.45500001311302185","0.640999972820282","0.640999972820282","0.640999972820282"
"12","0.5109999775886536","0.5109999775886536","0.5109999775886536","0.42500004172325134","0.42500004172325134","0.42500004172325134","0.5410000085830688","0.5410000085830688","0.5410000085830688","0.35100001096725464","0.35100001096725464","0.35100001096725464","0.4569999873638153","0.4569999873638153","0.4569999873638153","0.4729999899864197","0.4729999899864197","0.4729999899864197","0.5360000133514404","0.5360000133514404","0.5360000133514404","0.6029999852180481","0.6029999852180481","0.6029999852180481","0.4750000238418579","0.4750000238418579","0.4750000238418579","0.6570000052452087","0.6570000052452087","0.6570000052452087"
"13","0.5130000114440918","0.5130000114440918","0.5130000114440918","0.4339999854564667","0.4339999854564667","0.4339999854564667","0.5490000247955322","0.5490000247955322","0.5490000247955322","0.3709999918937683","0.3709999918937683","0.3709999918937683","0.45399996638298035","0.45399996638298035","0.45399996638298035","0.4619999825954437","0.4619999825954437","0.4619999825954437","0.5360000133514404","0.5360000133514404","0.5360000133514404","0.6430000066757202","0.6430000066757202","0.6430000066757202","0.503000020980835","0.503000020980835","0.503000020980835","0.7089999914169312","0.7089999914169312","0.7089999914169312"
"14","0.5070000290870667","0.5070000290870667","0.5070000290870667","0.4439999759197235","0.4439999759197235","0.4439999759197235","0.5640000104904175","0.5640000104904175","0.5640000104904175","0.42399999499320984","0.42399999499320984","0.42399999499320984","0.46700000762939453","0.46700000762939453","0.46700000762939453","0.5609999895095825","0.5609999895095825","0.5609999895095825","0.546999990940094","0.546999990940094","0.546999990940094","0.7009999752044678","0.7009999752044678","0.7009999752044678","0.5040000081062317","0.5040000081062317","0.5040000081062317","0.703000009059906","0.703000009059906","0.703000009059906"
"15","0.5070000290870667","0.5070000290870667","0.5070000290870667","0.4699999988079071","0.4699999988079071","0.4699999988079071","0.5600000023841858","0.5600000023841858","0.5600000023841858","0.44899997115135193","0.44899997115135193","0.44899997115135193","0.4750000238418579","0.4750000238418579","0.4750000238418579","0.5759999752044678","0.5759999752044678","0.5759999752044678","0.5920000076293945","0.5920000076293945","0.5920000076293945","0.7080000042915344","0.7080000042915344","0.7080000042915344","0.515999972820282","0.515999972820282","0.515999972820282","0.7099999785423279","0.7099999785423279","0.7099999785423279"
"16","0.515999972820282","0.515999972820282","0.515999972820282","0.4790000319480896","0.4790000319480896","0.4790000319480896","0.5649999976158142","0.5649999976158142","0.5649999976158142","0.4750000238418579","0.4750000238418579","0.4750000238418579","0.47699999809265137","0.47699999809265137","0.47699999809265137","0.5910000205039978","0.5910000205039978","0.5910000205039978","0.6150000095367432","0.6150000095367432","0.6150000095367432","0.7379999756813049","0.7379999756813049","0.7379999756813049","0.5260000228881836","0.5260000228881836","0.5260000228881836","0.7089999914169312","0.7089999914169312","0.7089999914169312"
"17","0.5329999923706055","0.5329999923706055","0.5329999923706055","0.5170000195503235","0.5170000195503235","0.5170000195503235","0.5619999766349792","0.5619999766349792","0.5619999766349792","0.4860000014305115","0.4860000014305115","0.4860000014305115","0.5450000166893005","0.5450000166893005","0.5450000166893005","0.5849999785423279","0.5849999785423279","0.5849999785423279","0.6520000100135803","0.6520000100135803","0.6520000100135803","0.7160000205039978","0.7160000205039978","0.7160000205039978","0.5350000262260437","0.5350000262260437","0.5350000262260437","0.7250000238418579","0.7250000238418579","0.7250000238418579"
"18","0.5170000195503235","0.5170000195503235","0.5170000195503235","0.5170000195503235","0.5170000195503235","0.5170000195503235","0.5770000219345093","0.5770000219345093","0.5770000219345093","0.5080000162124634","0.5080000162124634","0.5080000162124634","0.48500001430511475","0.48500001430511475","0.48500001430511475","0.5960000157356262","0.5960000157356262","0.5960000157356262","0.6819999814033508","0.6819999814033508","0.6819999814033508","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.5580000281333923","0.5580000281333923","0.5580000281333923","0.7110000252723694","0.7110000252723694","0.7110000252723694"
"19","0.5260000228881836","0.5260000228881836","0.5260000228881836","0.5239999890327454","0.5239999890327454","0.5239999890327454","0.5640000104904175","0.5640000104904175","0.5640000104904175","0.5009999871253967","0.5009999871253967","0.5009999871253967","0.4529999792575836","0.4529999792575836","0.4529999792575836","0.593999981880188","0.593999981880188","0.593999981880188","0.6790000200271606","0.6790000200271606","0.6790000200271606","0.7210000157356262","0.7210000157356262","0.7210000157356262","0.5640000104904175","0.5640000104904175","0.5640000104904175","0.7329999804496765","0.7329999804496765","0.7329999804496765"
