"Step","GCN_features-16_layers-2_lr-0.0001 - test_accuracy","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.001 - test_accuracy","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.01 - test_accuracy","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.0001 - test_accuracy","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.001 - test_accuracy","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.01 - test_accuracy","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.0001 - test_accuracy","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.001 - test_accuracy","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.01 - test_accuracy","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GCN_features-8_layers-2_lr-0.0001 - test_accuracy","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MAX"
"10","0.3700000047683716","0.3700000047683716","0.3700000047683716","0.2939999997615814","0.2939999997615814","0.2939999997615814","0.16500000655651093","0.16500000655651093","0.16500000655651093","0.33799999952316284","0.33799999952316284","0.33799999952316284","0.2930000126361847","0.2930000126361847","0.2930000126361847","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.3529999852180481","0.3529999852180481","0.3529999852180481","0.4320000112056732","0.4320000112056732","0.4320000112056732","0.3059999942779541","0.3059999942779541","0.3059999942779541","0.14000000059604645","0.14000000059604645","0.14000000059604645"
"11","0.3409999907016754","0.3409999907016754","0.3409999907016754","0.3160000145435333","0.3160000145435333","0.3160000145435333","0.20200000703334808","0.20200000703334808","0.20200000703334808","0.3930000066757202","0.3930000066757202","0.3930000066757202","0.26100000739097595","0.26100000739097595","0.26100000739097595","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.3649999797344208","0.3649999797344208","0.3649999797344208","0.4569999873638153","0.4569999873638153","0.4569999873638153","0.29100000858306885","0.29100000858306885","0.29100000858306885","0.20099999010562897","0.20099999010562897","0.20099999010562897"
"12","0.3819999694824219","0.3819999694824219","0.3819999694824219","0.2930000126361847","0.2930000126361847","0.2930000126361847","0.1720000058412552","0.1720000058412552","0.1720000058412552","0.3840000033378601","0.3840000033378601","0.3840000033378601","0.3059999942779541","0.3059999942779541","0.3059999942779541","0.39100000262260437","0.39100000262260437","0.39100000262260437","0.35499998927116394","0.35499998927116394","0.35499998927116394","0.44600000977516174","0.44600000977516174","0.44600000977516174","0.3449999690055847","0.3449999690055847","0.3449999690055847","0.14100000262260437","0.14100000262260437","0.14100000262260437"
"13","0.34800001978874207","0.34800001978874207","0.34800001978874207","0.3240000009536743","0.3240000009536743","0.3240000009536743","0.20999999344348907","0.20999999344348907","0.20999999344348907","0.3869999945163727","0.3869999945163727","0.3869999945163727","0.2669999897480011","0.2669999897480011","0.2669999897480011","0.39500001072883606","0.39500001072883606","0.39500001072883606","0.3700000047683716","0.3700000047683716","0.3700000047683716","0.453000009059906","0.453000009059906","0.453000009059906","0.34299999475479126","0.34299999475479126","0.34299999475479126","0.2029999941587448","0.2029999941587448","0.2029999941587448"
"14","0.3840000033378601","0.3840000033378601","0.3840000033378601","0.296999990940094","0.296999990940094","0.296999990940094","0.19699999690055847","0.19699999690055847","0.19699999690055847","0.3850000202655792","0.3850000202655792","0.3850000202655792","0.32600000500679016","0.32600000500679016","0.32600000500679016","0.38600000739097595","0.38600000739097595","0.38600000739097595","0.35600000619888306","0.35600000619888306","0.35600000619888306","0.4410000145435333","0.4410000145435333","0.4410000145435333","0.3970000147819519","0.3970000147819519","0.3970000147819519","0.1459999978542328","0.1459999978542328","0.1459999978542328"
"15","0.3499999940395355","0.3499999940395355","0.3499999940395355","0.3529999852180481","0.3529999852180481","0.3529999852180481","0.22200000286102295","0.22200000286102295","0.22200000286102295","0.3720000088214874","0.3720000088214874","0.3720000088214874","0.29100000858306885","0.29100000858306885","0.29100000858306885","0.3959999978542328","0.3959999978542328","0.3959999978542328","0.37599995732307434","0.37599995732307434","0.37599995732307434","0.4169999957084656","0.4169999957084656","0.4169999957084656","0.3869999945163727","0.3869999945163727","0.3869999945163727","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"16","0.3869999945163727","0.3869999945163727","0.3869999945163727","0.3009999990463257","0.3009999990463257","0.3009999990463257","0.24199999868869781","0.24199999868869781","0.24199999868869781","0.3840000033378601","0.3840000033378601","0.3840000033378601","0.33399999141693115","0.33399999141693115","0.33399999141693115","0.3850000202655792","0.3850000202655792","0.3850000202655792","0.3610000014305115","0.3610000014305115","0.3610000014305115","0.39900001883506775","0.39900001883506775","0.39900001883506775","0.42399999499320984","0.42399999499320984","0.42399999499320984","0.1459999978542328","0.1459999978542328","0.1459999978542328"
"17","0.35499998927116394","0.35499998927116394","0.35499998927116394","0.38600000739097595","0.38600000739097595","0.38600000739097595","0.25099998712539673","0.25099998712539673","0.25099998712539673","0.367000013589859","0.367000013589859","0.367000013589859","0.31299999356269836","0.31299999356269836","0.31299999356269836","0.39800000190734863","0.39800000190734863","0.39800000190734863","0.3680000305175781","0.3680000305175781","0.3680000305175781","0.42500004172325134","0.42500004172325134","0.42500004172325134","0.3970000147819519","0.3970000147819519","0.3970000147819519","0.19599999487400055","0.19599999487400055","0.19599999487400055"
"18","0.38600000739097595","0.38600000739097595","0.38600000739097595","0.3160000145435333","0.3160000145435333","0.3160000145435333","0.27300000190734863","0.27300000190734863","0.27300000190734863","0.382999986410141","0.382999986410141","0.382999986410141","0.34200000762939453","0.34200000762939453","0.34200000762939453","0.38600000739097595","0.38600000739097595","0.38600000739097595","0.3630000054836273","0.3630000054836273","0.3630000054836273","0.40199998021125793","0.40199998021125793","0.40199998021125793","0.4360000193119049","0.4360000193119049","0.4360000193119049","0.14900000393390656","0.14900000393390656","0.14900000393390656"
"19","0.3529999852180481","0.3529999852180481","0.3529999852180481","0.4350000023841858","0.4350000023841858","0.4350000023841858","0.26499998569488525","0.26499998569488525","0.26499998569488525","0.3700000047683716","0.3700000047683716","0.3700000047683716","0.32899999618530273","0.32899999618530273","0.32899999618530273","0.40199998021125793","0.40199998021125793","0.40199998021125793","0.3649999797344208","0.3649999797344208","0.3649999797344208","0.4350000023841858","0.4350000023841858","0.4350000023841858","0.3970000147819519","0.3970000147819519","0.3970000147819519","0.1979999989271164","0.1979999989271164","0.1979999989271164"
