"Step","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdagrad - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdagrad - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdagrad - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedOpt - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedOpt - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedOpt - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdam - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdam - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdam - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedYogi - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedYogi - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedYogi - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedProx - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedProx - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedProx - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MAX"
"10","0.609000027179718","0.609000027179718","0.609000027179718","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.6269999742507935","0.6269999742507935","0.6269999742507935","0.6320000290870667","0.6320000290870667","0.6320000290870667","0.6209999918937683","0.6209999918937683","0.6209999918937683","0.5920000076293945","0.5920000076293945","0.5920000076293945"
"11","0.6110000014305115","0.6110000014305115","0.6110000014305115","0.6679999828338623","0.6679999828338623","0.6679999828338623","0.6209999918937683","0.6209999918937683","0.6209999918937683","0.652999997138977","0.652999997138977","0.652999997138977","0.6200000047683716","0.6200000047683716","0.6200000047683716","0.5920000076293945","0.5920000076293945","0.5920000076293945"
"12","0.6209999918937683","0.6209999918937683","0.6209999918937683","0.671999990940094","0.671999990940094","0.671999990940094","0.6230000257492065","0.6230000257492065","0.6230000257492065","0.6639999747276306","0.6639999747276306","0.6639999747276306","0.6340000033378601","0.6340000033378601","0.6340000033378601","0.5839999914169312","0.5839999914169312","0.5839999914169312"
"13","0.6169999837875366","0.6169999837875366","0.6169999837875366","0.671999990940094","0.671999990940094","0.671999990940094","0.621999979019165","0.621999979019165","0.621999979019165","0.6650000214576721","0.6650000214576721","0.6650000214576721","0.6320000290870667","0.6320000290870667","0.6320000290870667","0.5910000205039978","0.5910000205039978","0.5910000205039978"
"14","0.6169999837875366","0.6169999837875366","0.6169999837875366","0.6700000166893005","0.6700000166893005","0.6700000166893005","0.625","0.625","0.625","0.6679999828338623","0.6679999828338623","0.6679999828338623","0.6330000162124634","0.6330000162124634","0.6330000162124634","0.5899999737739563","0.5899999737739563","0.5899999737739563"
"15","0.6069999933242798","0.6069999933242798","0.6069999933242798","0.6759999990463257","0.6759999990463257","0.6759999990463257","0.625","0.625","0.625","0.6690000295639038","0.6690000295639038","0.6690000295639038","0.6309999823570251","0.6309999823570251","0.6309999823570251","0.5910000205039978","0.5910000205039978","0.5910000205039978"
"16","0.6209999918937683","0.6209999918937683","0.6209999918937683","0.6729999780654907","0.6729999780654907","0.6729999780654907","0.6330000162124634","0.6330000162124634","0.6330000162124634","0.6639999747276306","0.6639999747276306","0.6639999747276306","0.6309999823570251","0.6309999823570251","0.6309999823570251","0.5899999737739563","0.5899999737739563","0.5899999737739563"
"17","0.6069999933242798","0.6069999933242798","0.6069999933242798","0.675000011920929","0.675000011920929","0.675000011920929","0.6370000243186951","0.6370000243186951","0.6370000243186951","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.6340000033378601","0.6340000033378601","0.6340000033378601","0.5989999771118164","0.5989999771118164","0.5989999771118164"
"18","0.625","0.625","0.625","0.6740000247955322","0.6740000247955322","0.6740000247955322","0.640999972820282","0.640999972820282","0.640999972820282","0.6589999794960022","0.6589999794960022","0.6589999794960022","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.5979999899864197","0.5979999899864197","0.5979999899864197"
"19","0.6169999837875366","0.6169999837875366","0.6169999837875366","0.6710000038146973","0.6710000038146973","0.6710000038146973","0.6420000195503235","0.6420000195503235","0.6420000195503235","0.6539999842643738","0.6539999842643738","0.6539999842643738","0.6389999985694885","0.6389999985694885","0.6389999985694885","0.6000000238418579","0.6000000238418579","0.6000000238418579"
"20","0.6269999742507935","0.6269999742507935","0.6269999742507935","0.6790000200271606","0.6790000200271606","0.6790000200271606","0.6389999985694885","0.6389999985694885","0.6389999985694885","0.6510000228881836","0.6510000228881836","0.6510000228881836","0.6510000228881836","0.6510000228881836","0.6510000228881836","0.5979999899864197","0.5979999899864197","0.5979999899864197"
"21","0.6179999709129333","0.6179999709129333","0.6179999709129333","0.6729999780654907","0.6729999780654907","0.6729999780654907","0.6349999904632568","0.6349999904632568","0.6349999904632568","0.656000018119812","0.656000018119812","0.656000018119812","0.6349999904632568","0.6349999904632568","0.6349999904632568","0.6079999804496765","0.6079999804496765","0.6079999804496765"
"22","0.6269999742507935","0.6269999742507935","0.6269999742507935","0.6710000038146973","0.6710000038146973","0.6710000038146973","0.6389999985694885","0.6389999985694885","0.6389999985694885","0.6629999876022339","0.6629999876022339","0.6629999876022339","0.6480000019073486","0.6480000019073486","0.6480000019073486","0.6010000109672546","0.6010000109672546","0.6010000109672546"
"23","0.6200000047683716","0.6200000047683716","0.6200000047683716","0.6729999780654907","0.6729999780654907","0.6729999780654907","0.6330000162124634","0.6330000162124634","0.6330000162124634","0.6589999794960022","0.6589999794960022","0.6589999794960022","0.6449999809265137","0.6449999809265137","0.6449999809265137","0.6069999933242798","0.6069999933242798","0.6069999933242798"
"24","0.621999979019165","0.621999979019165","0.621999979019165","0.6740000247955322","0.6740000247955322","0.6740000247955322","0.6299999952316284","0.6299999952316284","0.6299999952316284","0.6589999794960022","0.6589999794960022","0.6589999794960022","0.6359999775886536","0.6359999775886536","0.6359999775886536","0.6029999852180481","0.6029999852180481","0.6029999852180481"
"25","0.6230000257492065","0.6230000257492065","0.6230000257492065","0.6740000247955322","0.6740000247955322","0.6740000247955322","0.6290000081062317","0.6290000081062317","0.6290000081062317","0.6570000052452087","0.6570000052452087","0.6570000052452087","0.6480000019073486","0.6480000019073486","0.6480000019073486","0.6029999852180481","0.6029999852180481","0.6029999852180481"
"26","0.6230000257492065","0.6230000257492065","0.6230000257492065","0.6740000247955322","0.6740000247955322","0.6740000247955322","0.6309999823570251","0.6309999823570251","0.6309999823570251","0.6610000133514404","0.6610000133514404","0.6610000133514404","0.6430000066757202","0.6430000066757202","0.6430000066757202","0.6069999933242798","0.6069999933242798","0.6069999933242798"
"27","0.6269999742507935","0.6269999742507935","0.6269999742507935","0.6740000247955322","0.6740000247955322","0.6740000247955322","0.6449999809265137","0.6449999809265137","0.6449999809265137","0.6610000133514404","0.6610000133514404","0.6610000133514404","0.6389999985694885","0.6389999985694885","0.6389999985694885","0.6050000190734863","0.6050000190734863","0.6050000190734863"
"28","0.6299999952316284","0.6299999952316284","0.6299999952316284","0.6669999957084656","0.6669999957084656","0.6669999957084656","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.6639999747276306","0.6639999747276306","0.6639999747276306","0.6510000228881836","0.6510000228881836","0.6510000228881836","0.6050000190734863","0.6050000190734863","0.6050000190734863"
"29","0.6309999823570251","0.6309999823570251","0.6309999823570251","0.6669999957084656","0.6669999957084656","0.6669999957084656","0.6340000033378601","0.6340000033378601","0.6340000033378601","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.6480000019073486","0.6480000019073486","0.6480000019073486","0.6060000061988831","0.6060000061988831","0.6060000061988831"
"30","0.6240000128746033","0.6240000128746033","0.6240000128746033","0.6700000166893005","0.6700000166893005","0.6700000166893005","0.6320000290870667","0.6320000290870667","0.6320000290870667","0.6679999828338623","0.6679999828338623","0.6679999828338623","0.6420000195503235","0.6420000195503235","0.6420000195503235","0.609000027179718","0.609000027179718","0.609000027179718"
"31","0.6340000033378601","0.6340000033378601","0.6340000033378601","0.6729999780654907","0.6729999780654907","0.6729999780654907","0.6290000081062317","0.6290000081062317","0.6290000081062317","0.6669999957084656","0.6669999957084656","0.6669999957084656","0.6420000195503235","0.6420000195503235","0.6420000195503235","0.609000027179718","0.609000027179718","0.609000027179718"
"32","0.6179999709129333","0.6179999709129333","0.6179999709129333","0.671999990940094","0.671999990940094","0.671999990940094","0.6259999871253967","0.6259999871253967","0.6259999871253967","0.6679999828338623","0.6679999828338623","0.6679999828338623","0.6430000066757202","0.6430000066757202","0.6430000066757202","0.6119999885559082","0.6119999885559082","0.6119999885559082"
"33","0.6299999952316284","0.6299999952316284","0.6299999952316284","0.6790000200271606","0.6790000200271606","0.6790000200271606","0.621999979019165","0.621999979019165","0.621999979019165","0.6669999957084656","0.6669999957084656","0.6669999957084656","0.6439999938011169","0.6439999938011169","0.6439999938011169","0.609000027179718","0.609000027179718","0.609000027179718"
"34","0.6309999823570251","0.6309999823570251","0.6309999823570251","0.671999990940094","0.671999990940094","0.671999990940094","0.6190000176429749","0.6190000176429749","0.6190000176429749","0.6639999747276306","0.6639999747276306","0.6639999747276306","0.6430000066757202","0.6430000066757202","0.6430000066757202","0.6050000190734863","0.6050000190734863","0.6050000190734863"
"35","0.628000020980835","0.628000020980835","0.628000020980835","0.6800000071525574","0.6800000071525574","0.6800000071525574","0.6230000257492065","0.6230000257492065","0.6230000257492065","0.6629999876022339","0.6629999876022339","0.6629999876022339","0.6439999938011169","0.6439999938011169","0.6439999938011169","0.609000027179718","0.609000027179718","0.609000027179718"
"36","0.6179999709129333","0.6179999709129333","0.6179999709129333","0.6769999861717224","0.6769999861717224","0.6769999861717224","0.6309999823570251","0.6309999823570251","0.6309999823570251","0.6629999876022339","0.6629999876022339","0.6629999876022339","0.6439999938011169","0.6439999938011169","0.6439999938011169","0.609000027179718","0.609000027179718","0.609000027179718"
"37","0.6230000257492065","0.6230000257492065","0.6230000257492065","0.6690000295639038","0.6690000295639038","0.6690000295639038","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.6620000004768372","0.6620000004768372","0.6620000004768372","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.6029999852180481","0.6029999852180481","0.6029999852180481"
"38","0.6230000257492065","0.6230000257492065","0.6230000257492065","0.6759999990463257","0.6759999990463257","0.6759999990463257","0.640999972820282","0.640999972820282","0.640999972820282","0.6650000214576721","0.6650000214576721","0.6650000214576721","0.6449999809265137","0.6449999809265137","0.6449999809265137","0.6079999804496765","0.6079999804496765","0.6079999804496765"
"39","0.6230000257492065","0.6230000257492065","0.6230000257492065","0.6759999990463257","0.6759999990463257","0.6759999990463257","0.6370000243186951","0.6370000243186951","0.6370000243186951","0.6669999957084656","0.6669999957084656","0.6669999957084656","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.609000027179718","0.609000027179718","0.609000027179718"
"40","0.625","0.625","0.625","0.6740000247955322","0.6740000247955322","0.6740000247955322","0.6290000081062317","0.6290000081062317","0.6290000081062317","0.6710000038146973","0.6710000038146973","0.6710000038146973","0.6420000195503235","0.6420000195503235","0.6420000195503235","0.6110000014305115","0.6110000014305115","0.6110000014305115"
"41","0.6330000162124634","0.6330000162124634","0.6330000162124634","0.6690000295639038","0.6690000295639038","0.6690000295639038","0.6259999871253967","0.6259999871253967","0.6259999871253967","0.6710000038146973","0.6710000038146973","0.6710000038146973","0.6389999985694885","0.6389999985694885","0.6389999985694885","0.6100000143051147","0.6100000143051147","0.6100000143051147"
"42","0.6209999918937683","0.6209999918937683","0.6209999918937683","0.6759999990463257","0.6759999990463257","0.6759999990463257","0.628000020980835","0.628000020980835","0.628000020980835","0.6690000295639038","0.6690000295639038","0.6690000295639038","0.6470000147819519","0.6470000147819519","0.6470000147819519","0.609000027179718","0.609000027179718","0.609000027179718"
"43","0.6299999952316284","0.6299999952316284","0.6299999952316284","0.671999990940094","0.671999990940094","0.671999990940094","0.6370000243186951","0.6370000243186951","0.6370000243186951","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.640999972820282","0.640999972820282","0.640999972820282","0.6060000061988831","0.6060000061988831","0.6060000061988831"
"44","0.6269999742507935","0.6269999742507935","0.6269999742507935","0.675000011920929","0.675000011920929","0.675000011920929","0.6320000290870667","0.6320000290870667","0.6320000290870667","0.6639999747276306","0.6639999747276306","0.6639999747276306","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.6129999756813049","0.6129999756813049","0.6129999756813049"
"45","0.6259999871253967","0.6259999871253967","0.6259999871253967","0.671999990940094","0.671999990940094","0.671999990940094","0.6330000162124634","0.6330000162124634","0.6330000162124634","0.6639999747276306","0.6639999747276306","0.6639999747276306","0.640999972820282","0.640999972820282","0.640999972820282","0.6079999804496765","0.6079999804496765","0.6079999804496765"
"46","0.6269999742507935","0.6269999742507935","0.6269999742507935","0.6759999990463257","0.6759999990463257","0.6759999990463257","0.6269999742507935","0.6269999742507935","0.6269999742507935","0.6579999923706055","0.6579999923706055","0.6579999923706055","0.640999972820282","0.640999972820282","0.640999972820282","0.6110000014305115","0.6110000014305115","0.6110000014305115"
"47","0.628000020980835","0.628000020980835","0.628000020980835","0.675000011920929","0.675000011920929","0.675000011920929","0.6259999871253967","0.6259999871253967","0.6259999871253967","0.656000018119812","0.656000018119812","0.656000018119812","0.6430000066757202","0.6430000066757202","0.6430000066757202","0.6169999837875366","0.6169999837875366","0.6169999837875366"
"48","0.6309999823570251","0.6309999823570251","0.6309999823570251","0.6790000200271606","0.6790000200271606","0.6790000200271606","0.6320000290870667","0.6320000290870667","0.6320000290870667","0.6620000004768372","0.6620000004768372","0.6620000004768372","0.6439999938011169","0.6439999938011169","0.6439999938011169","0.6010000109672546","0.6010000109672546","0.6010000109672546"
"49","0.6340000033378601","0.6340000033378601","0.6340000033378601","0.6809999942779541","0.6809999942779541","0.6809999942779541","0.6349999904632568","0.6349999904632568","0.6349999904632568","0.6610000133514404","0.6610000133514404","0.6610000133514404","0.6389999985694885","0.6389999985694885","0.6389999985694885","0.6140000224113464","0.6140000224113464","0.6140000224113464"
