"Step","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MAX","GAT-num_clients_8-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy","GAT-num_clients_8-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MIN","GAT-num_clients_8-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MAX","GAT-num_clients_4-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy","GAT-num_clients_4-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MIN","GAT-num_clients_4-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MAX","GAT-num_clients_2-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy","GAT-num_clients_2-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MIN","GAT-num_clients_2-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MAX"
"0","0.7829999923706055","0.7829999923706055","0.7829999923706055","0.7870000004768372","0.7870000004768372","0.7870000004768372","0.7739999890327454","0.7739999890327454","0.7739999890327454","0.7759999632835388","0.7759999632835388","0.7759999632835388"
"1","0.8090000152587891","0.8090000152587891","0.8090000152587891","0.7870000004768372","0.7870000004768372","0.7870000004768372","0.796000063419342","0.796000063419342","0.796000063419342","0.7870000004768372","0.7870000004768372","0.7870000004768372"
"2","0.8059999942779541","0.8059999942779541","0.8059999942779541","0.7969999313354492","0.7969999313354492","0.7969999313354492","0.8140000104904175","0.8140000104904175","0.8140000104904175","0.8090000152587891","0.8090000152587891","0.8090000152587891"
"3","0.8039999604225159","0.8039999604225159","0.8039999604225159","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.8000000715255737","0.8000000715255737","0.8000000715255737","0.7889999151229858","0.7889999151229858","0.7889999151229858"
"4","0.8090000152587891","0.8090000152587891","0.8090000152587891","0.7969999313354492","0.7969999313354492","0.7969999313354492","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.7860000133514404","0.7860000133514404","0.7860000133514404"
"5","0.8180000185966492","0.8180000185966492","0.8180000185966492","0.8050000071525574","0.8050000071525574","0.8050000071525574","0.8029999732971191","0.8029999732971191","0.8029999732971191","0.7950000166893005","0.7950000166893005","0.7950000166893005"
"6","0.8029999732971191","0.8029999732971191","0.8029999732971191","0.8009999394416809","0.8009999394416809","0.8009999394416809","0.7990000247955322","0.7990000247955322","0.7990000247955322","0.777999997138977","0.777999997138977","0.777999997138977"
"7","0.8180000185966492","0.8180000185966492","0.8180000185966492","0.7990000247955322","0.7990000247955322","0.7990000247955322","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.7910000085830688","0.7910000085830688","0.7910000085830688"
"8","0.8170000314712524","0.8170000314712524","0.8170000314712524","0.8000000715255737","0.8000000715255737","0.8000000715255737","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.7860000133514404","0.7860000133514404","0.7860000133514404"
"9","0.8170000314712524","0.8170000314712524","0.8170000314712524","0.796000063419342","0.796000063419342","0.796000063419342","0.8009999394416809","0.8009999394416809","0.8009999394416809","0.7799999713897705","0.7799999713897705","0.7799999713897705"
"10","0.8090000152587891","0.8090000152587891","0.8090000152587891","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.7929999232292175","0.7929999232292175","0.7929999232292175","0.7759999632835388","0.7759999632835388","0.7759999632835388"
"11","0.8130000233650208","0.8130000233650208","0.8130000233650208","0.8009999394416809","0.8009999394416809","0.8009999394416809","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.7749999761581421","0.7749999761581421","0.7749999761581421"
"12","0.8109999895095825","0.8109999895095825","0.8109999895095825","0.8050000071525574","0.8050000071525574","0.8050000071525574","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.7940000295639038","0.7940000295639038","0.7940000295639038"
"13","0.8119999766349792","0.8119999766349792","0.8119999766349792","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.7929999232292175","0.7929999232292175","0.7929999232292175","0.7910000085830688","0.7910000085830688","0.7910000085830688"
"14","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.8000000715255737","0.8000000715255737","0.8000000715255737","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.7829999923706055","0.7829999923706055","0.7829999923706055"
"15","0.8130000233650208","0.8130000233650208","0.8130000233650208","0.7990000247955322","0.7990000247955322","0.7990000247955322","0.796000063419342","0.796000063419342","0.796000063419342","0.7969999313354492","0.7969999313354492","0.7969999313354492"
"16","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.7929999232292175","0.7929999232292175","0.7929999232292175","0.7889999151229858","0.7889999151229858","0.7889999151229858"
"17","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.796000063419342","0.796000063419342","0.796000063419342","0.7860000133514404","0.7860000133514404","0.7860000133514404"
"18","0.8090000152587891","0.8090000152587891","0.8090000152587891","0.8039999604225159","0.8039999604225159","0.8039999604225159","0.796000063419342","0.796000063419342","0.796000063419342","0.7889999151229858","0.7889999151229858","0.7889999151229858"
"19","0.8090000152587891","0.8090000152587891","0.8090000152587891","0.8050000071525574","0.8050000071525574","0.8050000071525574","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.7889999151229858"
"20","0.8130000233650208","0.8130000233650208","0.8130000233650208","0.8039999604225159","0.8039999604225159","0.8039999604225159","0.7929999232292175","0.7929999232292175","0.7929999232292175","0.7839999794960022","0.7839999794960022","0.7839999794960022"
"21","0.8119999766349792","0.8119999766349792","0.8119999766349792","0.8029999732971191","0.8029999732971191","0.8029999732971191","0.7929999232292175","0.7929999232292175","0.7929999232292175","0.7850000262260437","0.7850000262260437","0.7850000262260437"
