"Step","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MAX","GAT-num_clients_8-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy","GAT-num_clients_8-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MIN","GAT-num_clients_8-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MAX","GAT-num_clients_4-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy","GAT-num_clients_4-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MIN","GAT-num_clients_4-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MAX","GAT-num_clients_2-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy","GAT-num_clients_2-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MIN","GAT-num_clients_2-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MAX"
"0","0.41100001335144043","0.41100001335144043","0.41100001335144043","0.38100001215934753","0.38100001215934753","0.38100001215934753","0.6330000162124634","0.6330000162124634","0.6330000162124634","0.7129999995231628","0.7129999995231628","0.7129999995231628"
"1","0.5130000114440918","0.5130000114440918","0.5130000114440918","0.5839999914169312","0.5839999914169312","0.5839999914169312","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.7820000052452087","0.7820000052452087","0.7820000052452087"
"2","0.5580000281333923","0.5580000281333923","0.5580000281333923","0.6169999837875366","0.6169999837875366","0.6169999837875366","0.7360000014305115","0.7360000014305115","0.7360000014305115","0.7820000052452087","0.7820000052452087","0.7820000052452087"
"3","0.574999988079071","0.574999988079071","0.574999988079071","0.621999979019165","0.621999979019165","0.621999979019165","0.7509999871253967","0.7509999871253967","0.7509999871253967","0.7870000004768372","0.7870000004768372","0.7870000004768372"
"4","0.5849999785423279","0.5849999785423279","0.5849999785423279","0.6209999918937683","0.6209999918937683","0.6209999918937683","0.7409999966621399","0.7409999966621399","0.7409999966621399","0.7699999809265137","0.7699999809265137","0.7699999809265137"
"5","0.5839999914169312","0.5839999914169312","0.5839999914169312","0.6340000033378601","0.6340000033378601","0.6340000033378601","0.7490000128746033","0.7490000128746033","0.7490000128746033","0.7789999842643738","0.7789999842643738","0.7789999842643738"
"6","0.5920000076293945","0.5920000076293945","0.5920000076293945","0.6520000100135803","0.6520000100135803","0.6520000100135803","0.7369999885559082","0.7369999885559082","0.7369999885559082","0.7770000100135803","0.7770000100135803","0.7770000100135803"
"7","0.5839999914169312","0.5839999914169312","0.5839999914169312","0.6679999828338623","0.6679999828338623","0.6679999828338623","0.7540000081062317","0.7540000081062317","0.7540000081062317","0.7640000581741333","0.7640000581741333","0.7640000581741333"
"8","0.5770000219345093","0.5770000219345093","0.5770000219345093","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.746999979019165","0.746999979019165","0.746999979019165","0.7679999470710754","0.7679999470710754","0.7679999470710754"
"9","0.5839999914169312","0.5839999914169312","0.5839999914169312","0.6620000004768372","0.6620000004768372","0.6620000004768372","0.7429999709129333","0.7429999709129333","0.7429999709129333","0.7710000872612","0.7710000872612","0.7710000872612"
