"Step","GAT-num_clients_10-percentage_overlap_25-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_10-percentage_overlap_25-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_25-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_0-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_10-percentage_overlap_0-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_0-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_8-percentage_overlap_100-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_8-percentage_overlap_100-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_8-percentage_overlap_100-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_8-percentage_overlap_50-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_8-percentage_overlap_50-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_8-percentage_overlap_50-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_8-percentage_overlap_25-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_8-percentage_overlap_25-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_8-percentage_overlap_25-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_8-percentage_overlap_0-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_8-percentage_overlap_0-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_8-percentage_overlap_0-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_4-percentage_overlap_100-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_4-percentage_overlap_100-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_4-percentage_overlap_100-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_4-percentage_overlap_50-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_4-percentage_overlap_50-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_4-percentage_overlap_50-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_4-percentage_overlap_25-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_4-percentage_overlap_25-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_4-percentage_overlap_25-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_4-percentage_overlap_0-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_4-percentage_overlap_0-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_4-percentage_overlap_0-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_2-percentage_overlap_100-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_2-percentage_overlap_100-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_2-percentage_overlap_100-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_2-percentage_overlap_50-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_2-percentage_overlap_50-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_2-percentage_overlap_50-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_2-percentage_overlap_25-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_2-percentage_overlap_25-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_2-percentage_overlap_25-aggregation_strategy_FedProx2 - test_accuracy__MAX","GAT-num_clients_2-percentage_overlap_0-aggregation_strategy_FedProx2 - test_accuracy","GAT-num_clients_2-percentage_overlap_0-aggregation_strategy_FedProx2 - test_accuracy__MIN","GAT-num_clients_2-percentage_overlap_0-aggregation_strategy_FedProx2 - test_accuracy__MAX"
"0","0.329600003361702","0.329600003361702","0.329600003361702","0.3752000004053116","0.3752000004053116","0.3752000004053116","0.5009999871253967","0.5009999871253967","0.5009999871253967","0.2723000034689903","0.2723000034689903","0.2723000034689903","0.5490000247955322","0.5490000247955322","0.5490000247955322","0.4567500054836273","0.4567500054836273","0.4567500054836273","0.37712500616908073","0.37712500616908073","0.37712500616908073","0.2703750003129244","0.2703750003129244","0.2703750003129244","0.640999972820282","0.640999972820282","0.640999972820282","0.5699999779462814","0.5699999779462814","0.5699999779462814","0.48499999195337296","0.48499999195337296","0.48499999195337296","0.4247500002384186","0.4247500002384186","0.4247500002384186","0.6430000066757202","0.6430000066757202","0.6430000066757202","0.6365000009536743","0.6365000009536743","0.6365000009536743","0.5805000066757202","0.5805000066757202","0.5805000066757202","0.5825000107288361","0.5825000107288361","0.5825000107288361"
"1","0.35730000138282775","0.35730000138282775","0.35730000138282775","0.4284000039100647","0.4284000039100647","0.4284000039100647","0.5","0.5","0.5","0.299899996817112","0.299899996817112","0.299899996817112","0.5789999961853027","0.5789999961853027","0.5789999961853027","0.4886249974370003","0.4886249974370003","0.4886249974370003","0.42237499356269836","0.42237499356269836","0.42237499356269836","0.28575000166893005","0.28575000166893005","0.28575000166893005","0.6190000176429749","0.6190000176429749","0.6190000176429749","0.5884999930858612","0.5884999930858612","0.5884999930858612","0.4962500035762787","0.4962500035762787","0.4962500035762787","0.4779999926686287","0.4779999926686287","0.4779999926686287","0.6380000114440918","0.6380000114440918","0.6380000114440918","0.6235000193119049","0.6235000193119049","0.6235000193119049","0.5694999992847443","0.5694999992847443","0.5694999992847443","0.5965000092983246","0.5965000092983246","0.5965000092983246"
"2","0.3745000034570694","0.3745000034570694","0.3745000034570694","0.44090000092983245","0.44090000092983245","0.44090000092983245","0.5019999742507935","0.5019999742507935","0.5019999742507935","0.3139000043272972","0.3139000043272972","0.3139000043272972","0.578000009059906","0.578000009059906","0.578000009059906","0.5003749988973141","0.5003749988973141","0.5003749988973141","0.4247499965131283","0.4247499965131283","0.4247499965131283","0.34062500298023224","0.34062500298023224","0.34062500298023224","0.6069999933242798","0.6069999933242798","0.6069999933242798","0.5782500058412552","0.5782500058412552","0.5782500058412552","0.5149999931454659","0.5149999931454659","0.5149999931454659","0.5040000006556511","0.5040000006556511","0.5040000006556511","0.5920000076293945","0.5920000076293945","0.5920000076293945","0.6145000159740448","0.6145000159740448","0.6145000159740448","0.5679999887943268","0.5679999887943268","0.5679999887943268","0.6030000150203705","0.6030000150203705","0.6030000150203705"
"3","0.3944000005722046","0.3944000005722046","0.3944000005722046","0.45529999732971194","0.45529999732971194","0.45529999732971194","0.5009999871253967","0.5009999871253967","0.5009999871253967","0.32860000133514405","0.32860000133514405","0.32860000133514405","0.5699999928474426","0.5699999928474426","0.5699999928474426","0.5012499988079071","0.5012499988079071","0.5012499988079071","0.43537500500679016","0.43537500500679016","0.43537500500679016","0.3506249934434891","0.3506249934434891","0.3506249934434891","0.597000002861023","0.597000002861023","0.597000002861023","0.580250009894371","0.580250009894371","0.580250009894371","0.527999997138977","0.527999997138977","0.527999997138977","0.5059999972581863","0.5059999972581863","0.5059999972581863","0.5920000076293945","0.5920000076293945","0.5920000076293945","0.6105000078678131","0.6105000078678131","0.6105000078678131","0.5485000014305115","0.5485000014305115","0.5485000014305115","0.6100000143051147","0.6100000143051147","0.6100000143051147"
"4","0.40090000331401826","0.40090000331401826","0.40090000331401826","0.4638000041246414","0.4638000041246414","0.4638000041246414","0.4970000088214874","0.4970000088214874","0.4970000088214874","0.33250000029802323","0.33250000029802323","0.33250000029802323","0.5709999799728394","0.5709999799728394","0.5709999799728394","0.5070000104606152","0.5070000104606152","0.5070000104606152","0.44087500125169754","0.44087500125169754","0.44087500125169754","0.3518749997019768","0.3518749997019768","0.3518749997019768","0.5960000157356262","0.5960000157356262","0.5960000157356262","0.5662499815225601","0.5662499815225601","0.5662499815225601","0.5237499997019768","0.5237499997019768","0.5237499997019768","0.5125000029802322","0.5125000029802322","0.5125000029802322","0.6039999723434448","0.6039999723434448","0.6039999723434448","0.5915000140666962","0.5915000140666962","0.5915000140666962","0.5600000023841858","0.5600000023841858","0.5600000023841858","0.5964999794960022","0.5964999794960022","0.5964999794960022"
"5","0.41349999606609344","0.41349999606609344","0.41349999606609344","0.4591999977827072","0.4591999977827072","0.4591999977827072","0.5059999823570251","0.5059999823570251","0.5059999823570251","0.3354000061750412","0.3354000061750412","0.3354000061750412","0.5720000267028809","0.5720000267028809","0.5720000267028809","0.5088750049471855","0.5088750049471855","0.5088750049471855","0.4361249916255474","0.4361249916255474","0.4361249916255474","0.3492499999701977","0.3492499999701977","0.3492499999701977","0.5799999833106995","0.5799999833106995","0.5799999833106995","0.5659999996423721","0.5659999996423721","0.5659999996423721","0.5200000107288361","0.5200000107288361","0.5200000107288361","0.5180000066757202","0.5180000066757202","0.5180000066757202","0.5920000076293945","0.5920000076293945","0.5920000076293945","0.5999999940395355","0.5999999940395355","0.5999999940395355","0.570499986410141","0.570499986410141","0.570499986410141","0.597000002861023","0.597000002861023","0.597000002861023"
"6","0.42439999580383303","0.42439999580383303","0.42439999580383303","0.47459999918937684","0.47459999918937684","0.47459999918937684","0.4970000088214874","0.4970000088214874","0.4970000088214874","0.3354000061750412","0.3354000061750412","0.3354000061750412","0.5509999990463257","0.5509999990463257","0.5509999990463257","0.5078750029206276","0.5078750029206276","0.5078750029206276","0.4388750046491623","0.4388750046491623","0.4388750046491623","0.350249994546175","0.350249994546175","0.350249994546175","0.5740000009536743","0.5740000009536743","0.5740000009536743","0.5674999803304672","0.5674999803304672","0.5674999803304672","0.5207499861717224","0.5207499861717224","0.5207499861717224","0.5120000094175339","0.5120000094175339","0.5120000094175339","0.5879999995231628","0.5879999995231628","0.5879999995231628","0.585999995470047","0.585999995470047","0.585999995470047","0.5814999938011169","0.5814999938011169","0.5814999938011169","0.5970000326633453","0.5970000326633453","0.5970000326633453"
"7","0.41349999606609344","0.41349999606609344","0.41349999606609344","0.47329998314380645","0.47329998314380645","0.47329998314380645","0.5149999856948853","0.5149999856948853","0.5149999856948853","0.35040000081062317","0.35040000081062317","0.35040000081062317","0.5519999861717224","0.5519999861717224","0.5519999861717224","0.5048750042915344","0.5048750042915344","0.5048750042915344","0.4429999962449074","0.4429999962449074","0.4429999962449074","0.3512500077486038","0.3512500077486038","0.3512500077486038","0.5690000057220459","0.5690000057220459","0.5690000057220459","0.5647500157356262","0.5647500157356262","0.5647500157356262","0.5152499973773956","0.5152499973773956","0.5152499973773956","0.5187499895691872","0.5187499895691872","0.5187499895691872","0.593999981880188","0.593999981880188","0.593999981880188","0.6060000061988831","0.6060000061988831","0.6060000061988831","0.5879999995231628","0.5879999995231628","0.5879999995231628","0.5960000157356262","0.5960000157356262","0.5960000157356262"
"8","0.4260000020265579","0.4260000020265579","0.4260000020265579","0.47280000150203705","0.47280000150203705","0.47280000150203705","0.5090000033378601","0.5090000033378601","0.5090000033378601","0.3450000032782555","0.3450000032782555","0.3450000032782555","0.5410000085830688","0.5410000085830688","0.5410000085830688","0.5007499903440475","0.5007499903440475","0.5007499903440475","0.4391249939799309","0.4391249939799309","0.4391249939799309","0.3656249903142452","0.3656249903142452","0.3656249903142452","0.5600000023841858","0.5600000023841858","0.5600000023841858","0.554500013589859","0.554500013589859","0.554500013589859","0.5300000011920929","0.5300000011920929","0.5300000011920929","0.5104999914765358","0.5104999914765358","0.5104999914765358","0.5860000252723694","0.5860000252723694","0.5860000252723694","0.6075000166893005","0.6075000166893005","0.6075000166893005","0.585999995470047","0.585999995470047","0.585999995470047","0.5950000286102295","0.5950000286102295","0.5950000286102295"
"9","0.4135000050067902","0.4135000050067902","0.4135000050067902","0.47559999525547025","0.47559999525547025","0.47559999525547025","0.5109999775886536","0.5109999775886536","0.5109999775886536","0.34880000054836274","0.34880000054836274","0.34880000054836274","0.5410000085830688","0.5410000085830688","0.5410000085830688","0.498749990016222","0.498749990016222","0.498749990016222","0.43937500193715096","0.43937500193715096","0.43937500193715096","0.36887500062584877","0.36887500062584877","0.36887500062584877","0.5619999766349792","0.5619999766349792","0.5619999766349792","0.5580000132322311","0.5580000132322311","0.5580000132322311","0.5260000079870224","0.5260000079870224","0.5260000079870224","0.507250003516674","0.507250003516674","0.507250003516674","0.5830000042915344","0.5830000042915344","0.5830000042915344","0.5820000171661377","0.5820000171661377","0.5820000171661377","0.5674999952316284","0.5674999952316284","0.5674999952316284","0.6085000038146973","0.6085000038146973","0.6085000038146973"
