"Step","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdagrad - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdagrad - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdagrad - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedOpt - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedOpt - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedOpt - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdam - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdam - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdam - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedYogi - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedYogi - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedYogi - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedProx - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedProx - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedProx - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedAdagrad - test_accuracy","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedAdagrad - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedAdagrad - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedOpt - test_accuracy","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedOpt - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedOpt - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedAdam - test_accuracy","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedAdam - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedAdam - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedYogi - test_accuracy","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedYogi - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_50-aggregation_strategy_FedYogi - test_accuracy__MAX"
"0","0.5040000081062317","0.5040000081062317","0.5040000081062317","0.5260000228881836","0.5260000228881836","0.5260000228881836","0.531000018119812","0.531000018119812","0.531000018119812","0.36000001430511475","0.36000001430511475","0.36000001430511475","0.5529999732971191","0.5529999732971191","0.5529999732971191","0.4389999806880951","0.4389999806880951","0.4389999806880951","0.468599995970726","0.468599995970726","0.468599995970726","0.31980000138282777","0.31980000138282777","0.31980000138282777","0.4929999947547913","0.4929999947547913","0.4929999947547913","0.2687999978661537","0.2687999978661537","0.2687999978661537"
"1","0.3499999940395355","0.3499999940395355","0.3499999940395355","0.5630000233650208","0.5630000233650208","0.5630000233650208","0.4169999957084656","0.4169999957084656","0.4169999957084656","0.4749999940395355","0.4749999940395355","0.4749999940395355","0.5529999732971191","0.5529999732971191","0.5529999732971191","0.4779999852180481","0.4779999852180481","0.4779999852180481","0.4324999988079071","0.4324999988079071","0.4324999988079071","0.37599999606609347","0.37599999606609347","0.37599999606609347","0.4092999964952469","0.4092999964952469","0.4092999964952469","0.361299991607666","0.361299991607666","0.361299991607666"
"2","0.44699999690055847","0.44699999690055847","0.44699999690055847","0.5479999780654907","0.5479999780654907","0.5479999780654907","0.531000018119812","0.531000018119812","0.531000018119812","0.4970000088214874","0.4970000088214874","0.4970000088214874","0.5600000023841858","0.5600000023841858","0.5600000023841858","0.4699999690055847","0.4699999690055847","0.4699999690055847","0.3965000122785568","0.3965000122785568","0.3965000122785568","0.39630000591278075","0.39630000591278075","0.39630000591278075","0.5122999995946884","0.5122999995946884","0.5122999995946884","0.41219999492168424","0.41219999492168424","0.41219999492168424"
"3","0.4440000057220459","0.4440000057220459","0.4440000057220459","0.5450000166893005","0.5450000166893005","0.5450000166893005","0.5260000228881836","0.5260000228881836","0.5260000228881836","0.5099999904632568","0.5099999904632568","0.5099999904632568","0.5450000166893005","0.5450000166893005","0.5450000166893005","0.4749999940395355","0.4749999940395355","0.4749999940395355","0.36289999485015867","0.36289999485015867","0.36289999485015867","0.403000009059906","0.403000009059906","0.403000009059906","0.49330000281333924","0.49330000281333924","0.49330000281333924","0.43170000314712526","0.43170000314712526","0.43170000314712526"
"4","0.4950000047683716","0.4950000047683716","0.4950000047683716","0.5389999747276306","0.5389999747276306","0.5389999747276306","0.4690000116825104","0.4690000116825104","0.4690000116825104","0.515999972820282","0.515999972820282","0.515999972820282","0.5479999780654907","0.5479999780654907","0.5479999780654907","0.46700000762939453","0.46700000762939453","0.46700000762939453","0.47509999573230743","0.47509999573230743","0.47509999573230743","0.41000001430511473","0.41000001430511473","0.41000001430511473","0.431399992108345","0.431399992108345","0.431399992108345","0.4419000059366226","0.4419000059366226","0.4419000059366226"
"5","0.4880000054836273","0.4880000054836273","0.4880000054836273","0.5389999747276306","0.5389999747276306","0.5389999747276306","0.49900004267692566","0.49900004267692566","0.49900004267692566","0.5230000019073486","0.5230000019073486","0.5230000019073486","0.5410000085830688","0.5410000085830688","0.5410000085830688","0.4690000116825104","0.4690000116825104","0.4690000116825104","0.4359000027179718","0.4359000027179718","0.4359000027179718","0.4148000001907349","0.4148000001907349","0.4148000001907349","0.5102999985218049","0.5102999985218049","0.5102999985218049","0.4471000015735626","0.4471000015735626","0.4471000015735626"
"6","0.4950000047683716","0.4950000047683716","0.4950000047683716","0.5379999876022339","0.5379999876022339","0.5379999876022339","0.5170000195503235","0.5170000195503235","0.5170000195503235","0.5339999794960022","0.5339999794960022","0.5339999794960022","0.5379999876022339","0.5379999876022339","0.5379999876022339","0.47200000286102295","0.47200000286102295","0.47200000286102295","0.4923000007867813","0.4923000007867813","0.4923000007867813","0.41069999933242796","0.41069999933242796","0.41069999933242796","0.5105000048875808","0.5105000048875808","0.5105000048875808","0.4494999974966049","0.4494999974966049","0.4494999974966049"
"7","0.4959999918937683","0.4959999918937683","0.4959999918937683","0.5440000295639038","0.5440000295639038","0.5440000295639038","0.4930000305175781","0.4930000305175781","0.4930000305175781","0.5460000038146973","0.5460000038146973","0.5460000038146973","0.5339999794960022","0.5339999794960022","0.5339999794960022","0.4659999907016754","0.4659999907016754","0.4659999907016754","0.45959999561309817","0.45959999561309817","0.45959999561309817","0.4176000088453293","0.4176000088453293","0.4176000088453293","0.48060000240802764","0.48060000240802764","0.48060000240802764","0.45200000107288363","0.45200000107288363","0.45200000107288363"
"8","0.492000013589859","0.492000013589859","0.492000013589859","0.5289999842643738","0.5289999842643738","0.5289999842643738","0.47099998593330383","0.47099998593330383","0.47099998593330383","0.546999990940094","0.546999990940094","0.546999990940094","0.5370000004768372","0.5370000004768372","0.5370000004768372","0.47099998593330383","0.47099998593330383","0.47099998593330383","0.4856000006198883","0.4856000006198883","0.4856000006198883","0.41980000734329226","0.41980000734329226","0.41980000734329226","0.43750000596046446","0.43750000596046446","0.43750000596046446","0.4521999955177307","0.4521999955177307","0.4521999955177307"
"9","0.49799999594688416","0.49799999594688416","0.49799999594688416","0.5339999794960022","0.5339999794960022","0.5339999794960022","0.4740000069141388","0.4740000069141388","0.4740000069141388","0.5429999828338623","0.5429999828338623","0.5429999828338623","0.5370000004768372","0.5370000004768372","0.5370000004768372","0.460999995470047","0.460999995470047","0.460999995470047","0.4748999893665314","0.4748999893665314","0.4748999893665314","0.4211999952793121","0.4211999952793121","0.4211999952793121","0.494200000166893","0.494200000166893","0.494200000166893","0.4501999974250793","0.4501999974250793","0.4501999974250793"
